,id,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bedrooms,beds,price,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,bathrooms,puntuacion_media
0,6369,1,1,Hispanoamérica,Chamartín,Private room in apartment,Private room,1.0,1.0,60.0,180,78,1,0.58,1.0,4.583333333333333
1,21853,0,1,Cármenes,Latina,Private room in apartment,Private room,1.0,1.0,31.0,364,33,2,0.42,1.0,4.653846153846154
4,26825,0,1,Legazpi,Arganzuela,Private room in house,Private room,1.0,1.0,26.0,365,149,1,1.12,1.0,4.612612612612613
6,30320,0,0,Sol,Centro,Entire apartment,Entire home/apt,1.0,2.0,65.0,351,170,3,1.29,1.0,4.596774193548387
7,30959,0,0,Embajadores,Centro,Entire loft,Entire home/apt,1.0,1.0,54.0,0,8,1,0.11,1.0,4.571428571428571
9,40718,1,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,79.0,302,118,11,0.91,1.0,4.523809523809524
10,40916,0,0,Universidad,Centro,Entire apartment,Entire home/apt,1.0,3.0,90.0,346,48,3,0.38,1.0,4.744186046511628
11,47957,0,1,Goya,Salamanca,Entire condominium,Entire home/apt,2.0,2.0,82.0,319,55,2,0.44,2.0,4.7368421052631575
13,62423,0,1,Justicia,Centro,Private room in apartment,Private room,1.0,2.0,24.0,357,79,2,2.21,1.5,4.696969696969697
14,64131,1,1,Peñagrande,Fuencarral - El Pardo,Private room in apartment,Private room,1.0,1.0,21.0,364,35,2,0.46,1.0,4.806451612903226
15,70059,1,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,51.0,38,41,1,0.33,1.0,4.56
16,70316,1,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,2.0,75.0,348,7,1,0.1,1.0,3.6666666666666665
17,72150,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,6.0,139.0,180,108,5,0.87,1.5,4.653846153846154
18,74352,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,80.0,288,5,1,0.11,1.0,4.8
19,75609,0,0,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,63.0,46,56,1,0.51,1.0,4.685714285714286
20,82481,0,1,Recoletos,Salamanca,Entire apartment,Entire home/apt,1.0,1.0,63.0,0,108,1,0.89,1.0,4.650602409638554
21,84719,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,46.0,37,185,1,1.53,1.0,4.6573426573426575
22,86042,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,3.0,125.0,179,153,5,1.28,1.0,4.741071428571429
